text,label
"100% confirmed: lab practical cancelled. Don't ignore this, forward to everyone now! Do not ignore this message.",0
Official communication: workshop on machine learning result will be declared on Tuesday 9AM. Check the official website for updates. — Principal's Office,1
Breaking news: Secret information about viva examination - they don't want you to know this! Do not ignore this message.,0
Notice: The project viva has been rescheduled to 15th May 2026 at 2:00 PM. Please check the official portal for details. — Department of Information Technology,1
Don't attend viva examination! It has been banned due to administrative decision. Spread the word! Please verify and share.,0
Alert from higher authorities: seminar cancelled with immediate effect. Share urgently! Received from department WhatsApp group.,0
"Dear Students, The workshop on machine learning scheduled for Monday 10AM will be held as per the original timetable in Examination Hall. — Dr. Mehta, Dean Academic Affairs",1
"Update: mid-semester examination originally scheduled for 25th May 2026 stands confirmed. No changes have been made. — Prof. Sharma, HOD Computer Science",1
Breaking news: Secret information about sports day - they don't want you to know this! Please verify and share.,0
"Last minute information: project submission tomorrow is rescheduled. Stay home, forward this message. Passed on from group admin.",0
"Academic Notice: result declaration will be conducted online via the college portal on 20th May 2026. — Dr. Mehta, Dean Academic Affairs",1
"Students are informed that mid-semester examination will commence from 1st June 2026 as per the academic calendar. — Prof. Sharma, HOD Computer Science",1
Alert from higher authorities: exam delayed indefinitely with immediate effect. Share urgently! This is 100% real information.,0
Notice: The annual cultural fest has been rescheduled to 25th May 2026 at 2:00 PM. Please check the official portal for details. — Student Affairs Office,1
Reminder: result declaration registration deadline is 1st June 2026. Visit the administrative office for further queries. — Academic Section,1
Hidden truth revealed: exam is not what they tell you. Spread awareness now! This is 100% real information.,0
You won't believe this! class has been rescheduled. The truth is shocking! Passed on from group admin.,0
"The Dr. Mehta, Dean Academic Affairs hereby informs students that alumni meet is scheduled on Monday 10AM in Auditorium A. Be present on time.",1
Student Affairs Office announces the commencement of seminar on cybersecurity from 1st June 2026. All students are requested to prepare accordingly.,1
Reminder: alumni meet registration deadline is Friday 11AM. Visit the administrative office for further queries. — Student Affairs Office,1
"Dr. Mehta, Dean Academic Affairs: The timetable for end-semester examination is now available on the college website. Check before 20th May 2026.",1
Official communication: alumni meet result will be declared on 15th May 2026. Check the official website for updates. — Academic Section,1
Principal's Office announces the commencement of workshop on machine learning from Tuesday 9AM. All students are requested to prepare accordingly.,1
Reminder: convocation ceremony registration deadline is Monday 10AM. Visit the administrative office for further queries. — Academic Section,1
MUST SHARE!!! project submission has been unexpectedly cancelled. All students must know NOW!!! Received from department WhatsApp group.,0
"Circular No. 418: convocation ceremony will be held as per schedule on 20th May 2026. Carry your ID cards. — Prof. Sharma, HOD Computer Science",1
Update: convocation ceremony originally scheduled for 1st June 2026 stands confirmed. No changes have been made. — The Registrar,1
"Dear Students, The fee payment scheduled for Friday 11AM will be held as per the original timetable in Seminar Hall. — The Registrar",1
The Academic Section hereby informs students that seminar on cybersecurity is scheduled on Wednesday 2PM in Room 204. Be present on time.,1
"Last minute information: fest tomorrow is moved online. Stay home, forward this message. Do not ignore this message.",0
"IMPORTANT MESSAGE: Due to COVID protocol, project submission is now suspended. Share immediately! Passed on from group admin.",0
Official communication: project viva result will be declared on Wednesday 2PM. Check the official website for updates. — The Registrar,1
"IMPORTANT MESSAGE: Due to administrative decision, annual function is now banned. Share immediately! Received from department WhatsApp group.",0
Students are informed that project viva will commence from 20th May 2026 as per the academic calendar. — Student Affairs Office,1
EXCLUSIVE LEAKED INFO: workshop is completely merged with another event. Share before it gets deleted! This is 100% real information.,0
Students are informed that convocation ceremony will commence from 20th May 2026 as per the academic calendar. — Academic Section,1
Notice from Academic Section: seminar on cybersecurity registration is now open. Last date to apply is 1st June 2026.,1
The Principal's Office hereby informs students that sports meet is scheduled on 20th May 2026 in Examination Hall. Be present on time.,1
"Reminder: alumni meet registration deadline is 20th May 2026. Visit the administrative office for further queries. — Prof. Sharma, HOD Computer Science",1
Principal's Office announces the commencement of end-semester examination from 20th May 2026. All students are requested to prepare accordingly.,1
"Important: The venue for project viva has been changed to Main Hall. All other details remain the same. — Dr. Mehta, Dean Academic Affairs",1
Important: The venue for end-semester examination has been changed to Seminar Hall. All other details remain the same. — The Registrar,1
Notice: The alumni meet has been rescheduled to 20th May 2026 at 11:00 AM. Please check the official portal for details. — The Examination Controller,1
🚨🚨 ALERT: sports day is suspended until further notice. Tell everyone ASAP! 🚨🚨 Do not ignore this message.,0
Update: convocation ceremony originally scheduled for 20th May 2026 stands confirmed. No changes have been made. — The Registrar,1
The The Registrar hereby informs students that annual cultural fest is scheduled on 25th May 2026 in Main Hall. Be present on time.,1
Breaking news: Secret information about lab practical - they don't want you to know this! Passed on from group admin.,0
"Last minute information: lab practical tomorrow is banned. Stay home, forward this message. Passed on from group admin.",0
Department of Information Technology announces the commencement of workshop on machine learning from 20th May 2026. All students are requested to prepare accordingly.,1
This is to inform all students that annual cultural fest will take place on 1st June 2026 as announced. Attendance is mandatory. — The Registrar,1
"Dr. Mehta, Dean Academic Affairs announces the commencement of fee payment from Monday 10AM. All students are requested to prepare accordingly.",1
"IMPORTANT MESSAGE: Due to unexpected maintenance, annual function is now cancelled. Share immediately! Received from department WhatsApp group.",0
"Reminder: scholarship application registration deadline is Friday 11AM. Visit the administrative office for further queries. — Prof. Sharma, HOD Computer Science",1
Principal's Office: The timetable for convocation ceremony is now available on the college website. Check before 20th May 2026.,1
Hidden truth revealed: workshop is not what they tell you. Spread awareness now! Do not ignore this message.,0
BREAKING: result declaration postponed due to COVID protocol. Share with everyone immediately! Passed on from group admin.,0
Shocking revelation: annual function is a complete fraud. Share this viral truth immediately! Please verify and share.,0
Students of first year are reminded that alumni meet is compulsory. Contact the office for any clarifications. — Student Affairs Office,1
"This is to inform all students that sports meet will take place on Tuesday 9AM as announced. Attendance is mandatory. — Prof. Sharma, HOD Computer Science",1
Don't attend workshop! It has been rescheduled due to power failure. Spread the word! Please verify and share.,0
BREAKING: fest postponed due to safety hazard. Share with everyone immediately! Received from department WhatsApp group.,0
Hidden truth revealed: result declaration is not what they tell you. Spread awareness now! Do not ignore this message.,0
Message from reliable source: convocation cancelled without prior notice. Tell everyone. Received from department WhatsApp group.,0
"100% confirmed: class postponed. Don't ignore this, forward to everyone now! Passed on from group admin.",0
Shocking revelation: lab practical is a complete fraud. Share this viral truth immediately! Please verify and share.,0
Breaking news: Secret information about fest - they don't want you to know this! Passed on from group admin.,0
The Registrar announces the commencement of convocation ceremony from 25th May 2026. All students are requested to prepare accordingly.,1
Don't attend viva examination! It has been suspended due to power failure. Spread the word! Do not ignore this message.,0
URGENT!!! workshop has been CANCELLED immediately. Forward this to all students NOW!!! Please verify and share.,0
*Forwarded as received* workshop will not happen tomorrow. Reliable source confirmed. This is 100% real information.,0
Breaking news: Secret information about university event - they don't want you to know this! Please verify and share.,0
Important: The venue for seminar on cybersecurity has been changed to Seminar Hall. All other details remain the same. — Academic Section,1
"Dear Students, The fee payment scheduled for 25th May 2026 will be held as per the original timetable in Examination Hall. — The Examination Controller",1
"100% confirmed: viva examination banned. Don't ignore this, forward to everyone now! Do not ignore this message.",0
This is to inform all students that project viva will take place on Friday 11AM as announced. Attendance is mandatory. — The Registrar,1
Principal's Office: The timetable for alumni meet is now available on the college website. Check before 25th May 2026.,1
Confirmed by insiders: seminar is called off. The real reason will shock you! This is 100% real information.,0
Message from reliable source: workshop cancelled without prior notice. Tell everyone. Received from department WhatsApp group.,0
Important: The venue for end-semester examination has been changed to Main Hall. All other details remain the same. — The Examination Controller,1
Official communication: scholarship application result will be declared on Wednesday 2PM. Check the official website for updates. — The Registrar,1
This is to inform all students that sports meet will take place on Wednesday 2PM as announced. Attendance is mandatory. — Principal's Office,1
Important: The venue for fee payment has been changed to Auditorium A. All other details remain the same. — The Registrar,1
Notice: The sports meet has been rescheduled to 20th May 2026 at 10:00 AM. Please check the official portal for details. — Student Affairs Office,1
"Important: The venue for end-semester examination has been changed to Computer Centre. All other details remain the same. — Dr. Mehta, Dean Academic Affairs",1
Notice from Department of Information Technology: library book submission registration is now open. Last date to apply is 20th May 2026.,1
This is to inform all students that annual cultural fest will take place on Wednesday 2PM as announced. Attendance is mandatory. — Principal's Office,1
